State,Median_Income,Year,Date
Arizona,46657.0,2006,2006-01-01
Arkansas,37057.0,2006,2006-01-01
California,55319.0,2006,2006-01-01
Colorado,55697.0,2006,2006-01-01
Connecticut,62404.0,2006,2006-01-01
Delaware,52438.0,2006,2006-01-01
D.C.,48477.0,2006,2006-01-01
Florida,45676.0,2006,2006-01-01
Georgia,49344.0,2006,2006-01-01
Hawaii,60470.0,2006,2006-01-01
Idaho,46213.0,2006,2006-01-01
Illinois,48671.0,2006,2006-01-01
Indiana,45407.0,2006,2006-01-01
Iowa,48126.0,2006,2006-01-01
Kansas,45552.0,2006,2006-01-01
Kentucky,39485.0,2006,2006-01-01
Louisiana,36488.0,2006,2006-01-01
Maine,45642.0,2006,2006-01-01
Maryland,63668.0,2006,2006-01-01
Massachusetts,55330.0,2006,2006-01-01
Michigan,48647.0,2006,2006-01-01
Minnesota,56211.0,2006,2006-01-01
Mississippi,34733.0,2006,2006-01-01
Missouri,44579.0,2006,2006-01-01
Montana,41105.0,2006,2006-01-01
Nebraska,48145.0,2006,2006-01-01
Nevada,52282.0,2006,2006-01-01
New Hampshire,61970.0,2006,2006-01-01
New Jersey,68059.0,2006,2006-01-01
New Mexico,40028.0,2006,2006-01-01
New York,48222.0,2006,2006-01-01
North Carolina,39797.0,2006,2006-01-01
North Dakota,41047.0,2006,2006-01-01
Ohio,45900.0,2006,2006-01-01
Oklahoma,38838.0,2006,2006-01-01
Oregon,47091.0,2006,2006-01-01
Pennsylvania,48477.0,2006,2006-01-01
Rhode Island,53736.0,2006,2006-01-01
South Carolina,39617.0,2006,2006-01-01
South Dakota,45427.0,2006,2006-01-01
Tennessee,40693.0,2006,2006-01-01
Texas,43307.0,2006,2006-01-01
Utah,54628.0,2006,2006-01-01
Vermont,51981.0,2006,2006-01-01
Virginia,57119.0,2006,2006-01-01
Washington,54723.0,2006,2006-01-01
West Virginia,38419.0,2006,2006-01-01
Wisconsin,51692.0,2006,2006-01-01
Wyoming,47041.0,2006,2006-01-01
United States,46326.0,2005,2005-01-01
Alabama,37150.0,2005,2005-01-01
Alaska,55891.0,2005,2005-01-01
Arizona,45245.0,2005,2005-01-01
Arkansas,36658.0,2005,2005-01-01
California,51755.0,2005,2005-01-01
Colorado,50449.0,2005,2005-01-01
Connecticut,56835.0,2005,2005-01-01
Delaware,51235.0,2005,2005-01-01
D.C.,44993.0,2005,2005-01-01
Florida,42990.0,2005,2005-01-01
Georgia,45926.0,2005,2005-01-01
Hawaii,59586.0,2005,2005-01-01
Idaho,44176.0,2005,2005-01-01
Illinois,48398.0,2005,2005-01-01
Indiana,42437.0,2005,2005-01-01
Iowa,46500.0,2005,2005-01-01
Kansas,42027.0,2005,2005-01-01
Kentucky,36699.0,2005,2005-01-01
Louisiana,37236.0,2005,2005-01-01
Maine,43923.0,2005,2005-01-01
Maryland,60512.0,2005,2005-01-01
Massachusetts,56017.0,2005,2005-01-01
Michigan,45933.0,2005,2005-01-01
Minnesota,54215.0,2005,2005-01-01
Mississippi,32875.0,2005,2005-01-01
