State,Year,Month,SPI
SD,2000,10,0.1940909090909091
SD,2000,11,1.591818181818181
SD,2000,12,0.03515151515151515
SD,2001,1,1.048030303030303
SD,2001,2,0.87969696969697
SD,2001,3,-0.958939393939394
SD,2001,4,1.5234848484848482
SD,2001,5,-0.10257575757575757
SD,2001,6,-0.09757575757575757
SD,2001,7,0.7722727272727272
SD,2001,8,-1.695757575757576
SD,2001,9,0.36681818181818193
SD,2001,10,-0.16893939393939394
SD,2001,11,1.011969696969697
SD,2001,12,-1.4380303030303037
SD,2002,1,-0.40924242424242424
SD,2002,2,-1.1263636363636365
SD,2002,3,0.061515151515151495
SD,2002,4,-0.46378787878787864
SD,2002,5,-0.7510606060606061
SD,2002,6,-1.1563636363636363
SD,2002,7,-0.5521212121212122
SD,2002,8,1.0940909090909094
SD,2002,9,-0.04515151515151518
SD,2002,10,0.45242424242424245
SD,2002,11,-1.458636363636364
SD,2002,12,-0.5984848484848485
SD,2003,1,0.08090909090909093
SD,2003,2,0.3956060606060606
SD,2003,3,-0.4436363636363638
SD,2003,4,0.3937878787878787
SD,2003,5,0.050606060606060606
SD,2003,6,0.2833333333333333
SD,2003,7,-0.5199999999999999
SD,2003,8,-0.8821212121212121
SD,2003,9,0.24954545454545457
SD,2003,10,-0.2410606060606061
SD,2003,11,0.33378787878787874
SD,2003,12,-0.40924242424242435
SD,2004,1,-0.14257575757575755
SD,2004,2,-0.05712121212121218
SD,2004,3,0.8534848484848484
SD,2004,4,-0.9083333333333337
SD,2004,5,0.7642424242424244
SD,2004,6,-0.2851515151515152
SD,2004,7,0.27606060606060606
SD,2004,8,-0.21348484848484847
SD,2004,9,1.654393939393939
SD,2004,10,0.7072727272727275
SD,2004,11,-0.2766666666666666
SD,2004,12,-1.2822727272727281
SD,2005,1,-0.022575757575757572
SD,2005,2,-0.11863636363636357
SD,2005,3,-0.5593939393939396
SD,2005,4,0.08893939393939394
SD,2005,5,0.5031818181818181
SD,2005,6,1.0672727272727276
SD,2005,7,-0.657121212121212
SD,2005,8,-0.28954545454545466
SD,2005,9,0.652878787878788
SD,2005,10,-0.30000000000000004
SD,2005,11,0.8792424242424243
SD,2005,12,0.735757575757576
SD,2006,1,-0.3728787878787878
SD,2006,2,-0.6609090909090909
SD,2006,3,0.47
SD,2006,4,0.41893939393939394
SD,2006,5,-1.2216666666666665
SD,2006,6,-0.9589393939393942
SD,2006,7,-1.783787878787879
SD,2006,8,0.8887878787878783
SD,2006,9,1.404242424242424
SD,2006,10,-1.1237878787878788
SD,2006,11,-0.41363636363636364
SD,2006,12,0.7925757575757577
SD,2007,1,-0.6309090909090909
SD,2007,2,0.9739393939393942
SD,2007,3,1.397272727272727
SD,2007,4,0.4304545454545454
SD,2007,5,0.9522727272727275
SD,2007,6,-0.007727272727272733
SD,2007,7,-1.7709090909090905
SD,2007,8,1.4245454545454548
SD,2007,9,0.0913636363636364
SD,2007,10,1.3015151515151517
SD,2007,11,-1.528181818181818
SD,2007,12,0.5354545454545454
