State_Abbrev,Year,Gas_Per_Gallon
MS,2000,1.4524714285714286
MT,2000,1.6088914285714286
NC,2000,1.4499885714285714
ND,2000,1.5406128571428572
NE,2000,1.4984042857142859
NH,2000,1.5356471428571428
NJ,2000,1.4574371428571429
NM,2000,1.4934385714285714
NV,2000,1.672204285714286
NY,2000,1.523232857142857
OH,2000,1.5021285714285715
OK,2000,1.3779857142857144
OR,2000,1.6299957142857144
PA,2000,1.5008871428571429
RI,2000,1.591511428571429
SC,2000,1.3804685714285714
SD,2000,1.5629585714285714
TN,2000,1.410262857142857
TX,2000,1.4065385714285714
US,2000,1.4760585714285717
UT,2000,1.5306814285714287
VA,2000,1.4388157142857143
VT,2000,1.52944
WA,2000,1.6014428571428574
WI,2000,1.5455785714285715
WV,2000,1.4673685714285716
WY,2000,1.474817142857143
AK,2001,1.6473757142857142
AL,2001,1.3320528571428571
AR,2001,1.353157142857143
AZ,2001,1.44254
CA,2001,1.5195085714285714
CO,2001,1.5393714285714288
CT,2001,1.52944
DC,2001,1.4735757142857142
DE,2001,1.4201942857142857
FL,2001,1.292327142857143
GA,2001,1.2066685714285714
HI,2001,1.8025542857142856
IA,2001,1.4015728571428572
ID,2001,1.4785414285714287
IL,2001,1.483507142857143
IN,2001,1.366812857142857
KS,2001,1.3804685714285714
KY,2001,1.3581228571428572
LA,2001,1.3283285714285715
MA,2001,1.483507142857143
MD,2001,1.4412985714285713
ME,2001,1.4301257142857142
MI,2001,1.39909
MN,2001,1.4897142857142858
MO,2001,1.3457085714285715
MS,2001,1.3593642857142858
MT,2001,1.51206
NC,2001,1.3692957142857143
ND,2001,1.5033699999999999
NE,2001,1.4375742857142857
NH,2001,1.4574371428571429
NJ,2001,1.370537142857143
NM,2001,1.4214357142857144
NV,2001,1.59027
NY,2001,1.4326085714285715
OH,2001,1.4239185714285716
OK,2001,1.3072242857142857
OR,2001,1.5443371428571429
PA,2001,1.396607142857143
RI,2001,1.507094285714286
SC,2001,1.2935685714285714
SD,2001,1.509577142857143
TN,2001,1.3395014285714286
TX,2001,1.3295700000000001
US,2001,1.40778
UT,2001,1.4524714285714286
VA,2001,1.3581228571428572
VT,2001,1.4326085714285715
WA,2001,1.518267142857143
WI,2001,1.5083357142857143
WV,2001,1.4326085714285715
WY,2001,1.4239185714285716
AK,2002,1.5508928571428573
AL,2002,1.2754542857142857
AR,2002,1.30275
AZ,2002,1.3275642857142858
CA,2002,1.384637142857143
CO,2002,1.4131735714285716
CT,2002,1.4144142857142858
DC,2002,1.4044885714285715
DE,2002,1.3424528571428571
FL,2002,1.2531214285714287
GA,2002,1.160067857142857
HI,2002,1.5384857142857142
IA,2002,1.3015092857142858
ID,2002,1.384637142857143
IL,2002,1.37223
IN,2002,1.2704914285714286
KS,2002,1.3300457142857145
KY,2002,1.3002685714285716
LA,2002,1.2841392857142857
MA,2002,1.3759521428571428
MD,2002,1.358582142857143
ME,2002,1.3945628571428572
MI,2002,1.3176385714285714
MN,2002,1.3945628571428572
MO,2002,1.280417142857143
MS,2002,1.3064721428571429
MT,2002,1.4119328571428573
NC,2002,1.3139164285714287
ND,2002,1.40697
NE,2002,1.3498971428571431
NH,2002,1.3598228571428574
NJ,2002,1.2729728571428571
NM,2002,1.3511378571428574
NV,2002,1.4491542857142856
NY,2002,1.3548600000000002
OH,2002,1.3523785714285717
OK,2002,1.2394735714285716
OR,2002,1.419377142857143
PA,2002,1.3312864285714288
RI,2002,1.4355064285714287
SC,2002,1.2605657142857143
SD,2002,1.3871185714285714
TN,2002,1.2816578571428572
TX,2002,1.276695
US,2002,1.3250828571428572
UT,2002,1.3685078571428573
VA,2002,1.2953057142857143
VT,2002,1.3833964285714286
WA,2002,1.3747114285714286
WI,2002,1.4255807142857144
WV,2002,1.3809150000000001
WY,2002,1.3424528571428571
AK,2003,1.7442438095238095
AL,2003,1.4345414285714286
AR,2003,1.4679892857142858
AZ,2003,1.6761092857142859
CA,2003,1.704601904761905
CO,2003,1.574526904761905
CT,2003,1.6141688095238096
DC,2003,1.5931090476190475
DE,2003,1.5386014285714287
FL,2003,1.4271085714285714
GA,2003,1.3391530952380954
HI,2003,1.8817516666666667
IA,2003,1.4692280952380952
ID,2003,1.6265569047619048
IL,2003,1.534885
IN,2003,1.475422142857143
KS,2003,1.511347619047619
KY,2003,1.4655116666666668
LA,2003,1.4394966666666666
MA,2003,1.586915
MD,2003,1.546034285714286
ME,2003,1.5856761904761907
MI,2003,1.5063923809523811
MN,2003,1.548511904761905
MO,2003,1.4444519047619049
MS,2003,1.4766609523809524
MT,2003,1.6104523809523812
NC,2003,1.4890490476190477
ND,2003,1.5596611904761903
NE,2003,1.5163028571428572
NH,2003,1.5732880952380954
NJ,2003,1.494004285714286
NM,2003,1.542317857142857
NV,2003,1.724422857142857
NY,2003,1.5695716666666666
OH,2003,1.5311685714285712
OK,2003,1.4097652380952383
OR,2003,1.688497380952381
PA,2003,1.534885
RI,2003,1.633989761904762
SC,2003,1.4295861904761904
SD,2003,1.553467142857143
TN,2003,1.4543623809523811
TX,2003,1.4394966666666666
US,2003,1.529929761904762
UT,2003,1.5993030952380953
VA,2003,1.4679892857142858
VT,2003,1.5831985714285712
WA,2003,1.6587659523809524
WI,2003,1.6154076190476192
WV,2003,1.5708104761904762
WY,2003,1.5026759523809525
AK,2004,1.9639966666666666
AL,2004,1.7435733333333334
AR,2004,1.75348
AZ,2004,1.9342766666666664
CA,2004,2.017245
CO,2004,1.8475933333333332
CT,2004,1.9095099999999998
DC,2004,1.853785
DE,2004,1.846355
FL,2004,1.7287133333333333
GA,2004,1.6519366666666666
HI,2004,2.1324099999999997
IA,2004,1.747288333333333
ID,2004,1.898365
IL,2004,1.8079666666666665
IN,2004,1.7485266666666663
KS,2004,1.7831999999999997
KY,2004,1.7646249999999999
LA,2004,1.7485266666666663
MA,2004,1.8575
MD,2004,1.8414016666666664
ME,2004,1.9033183333333332
MI,2004,1.7831999999999997
MN,2004,1.8166349999999998
MO,2004,1.7225216666666665
MS,2004,1.7633866666666667
MT,2004,1.8822666666666663
NC,2004,1.79806
ND,2004,1.853785
NE,2004,1.80549
NH,2004,1.8426399999999998
NJ,2004,1.7745316666666664
NM,2004,1.8215883333333334
NV,2004,2.0643016666666667
NY,2004,1.8735983333333333
OH,2004,1.8203499999999997
OK,2004,1.6816566666666664
OR,2004,1.9516133333333332
PA,2004,1.8277799999999997
RI,2004,1.9107483333333333
SC,2004,1.7336666666666665
SD,2004,1.8314949999999999
TN,2004,1.7671016666666663
TX,2004,1.7274749999999996
US,2004,1.8215883333333334
UT,2004,1.8587383333333332
VA,2004,1.7510033333333335
VT,2004,1.8921733333333333
WA,2004,1.9664733333333335
WI,2004,1.8996033333333333
WV,2004,1.8575
WY,2004,1.7757699999999996
AK,2005,2.355189047619048
AL,2005,2.1744966666666667
AR,2005,2.162120476190476
AZ,2005,2.3168228571428573
CA,2005,2.3440504761904766
CO,2005,2.2648428571428574
CT,2005,2.2895952380952385
DC,2005,2.2772190476190475
DE,2005,2.2264766666666667
FL,2005,2.149744285714286
GA,2005,2.096526666666667
HI,2005,2.563109047619048
IA,2005,2.1485066666666666
ID,2005,2.288357619047619
IL,2005,2.1918233333333337
IN,2005,2.1386057142857147
KS,2005,2.1782095238095245
KY,2005,2.184397619047619
LA,2005,2.2041995238095238
MA,2005,2.2413280952380954
MD,2005,2.252466666666667
ME,2005,2.2858823809523807
MI,2005,2.1868728571428573
MN,2005,2.1744966666666667
MO,2005,2.1435561904761906
MS,2005,2.18316
MT,2005,2.283407142857143
NC,2005,2.253704285714286
ND,2005,2.247516190476191
NE,2005,2.217813333333334
NH,2005,2.220288571428572
NJ,2005,2.1608828571428575
NM,2005,2.278456666666667
NV,2005,2.3749909523809527
NY,2005,2.243803333333333
OH,2005,2.2264766666666667
OK,2005,2.1126157142857145
OR,2005,2.337862380952381
PA,2005,2.252466666666667
RI,2005,2.282169523809524
SC,2005,2.1608828571428575
SD,2005,2.2413280952380954
TN,2005,2.1930609523809523
TX,2005,2.159645238095238
US,2005,2.22276380952381
UT,2005,2.237615238095238
VA,2005,2.1744966666666667
VT,2005,2.278456666666667
WA,2005,2.3774661904761905
WI,2005,2.3032090476190477
WV,2005,2.283407142857143
WY,2005,2.2215261904761907
AK,2006,2.6585335714285714
AL,2006,2.4397699999999998
AR,2006,2.4360621428571427
AZ,2006,2.5547135714285716
CA,2006,2.6498819047619047
CO,2006,2.5584214285714286
CT,2006,2.638758333333333
DC,2006,2.638758333333333
DE,2006,2.568309047619048
FL,2006,2.4410059523809524
GA,2006,2.3544892857142856
HI,2006,2.961341904761905
IA,2006,2.4595452380952376
ID,2006,2.5695449999999997
IL,2006,2.4941519047619045
IN,2006,2.4224666666666668
KS,2006,2.4595452380952376
KY,2006,2.4743766666666667
LA,2006,2.4830283333333334
MA,2006,2.555949523809524
MD,2006,2.5819045238095235
ME,2006,2.5917921428571424
MI,2006,2.4681969047619043
MN,2006,2.497859761904762
MO,2006,2.402691428571429
MS,2006,2.4644890476190477
MT,2006,2.5522416666666663
NC,2006,2.5349383333333333
ND,2006,2.5435899999999996
NE,2006,2.5324664285714285
NH,2006,2.5485338095238097
NJ,2006,2.4780845238095237
NM,2006,2.5843764285714284
NV,2006,2.6523538095238095
NY,2006,2.5670730952380953
OH,2006,2.5114552380952384
OK,2006,2.3965116666666666
OR,2006,2.6535897619047617
PA,2006,2.5806685714285713
RI,2006,2.628870714285714
SC,2006,2.4101071428571426
SD,2006,2.5435899999999996
TN,2006,2.458309285714286
TX,2006,2.465725
US,2006,2.518870952380952
UT,2006,2.5262866666666666
VA,2006,2.469432857142857
VT,2006,2.579432619047619
WA,2006,2.7104435714285713
WI,2006,2.605387619047619
WV,2006,2.5695449999999997
WY,2006,2.507747380952381
AK,2007,2.8033380952380953
AL,2007,2.6376416666666667
AR,2007,2.7076023809523813
AZ,2007,2.7198761904761906
CA,2007,2.857342857142857
CO,2007,2.8143845238095238
CT,2007,2.8217488095238092
DC,2007,2.7775630952380954
DE,2007,2.6879642857142856
FL,2007,2.636414285714286
GA,2007,2.5480428571428573
HI,2007,3.011992857142857
IA,2007,2.7456511904761904
ID,2007,2.802110714285714
IL,2007,2.7505607142857142
IN,2007,2.6806
KS,2007,2.734604761904762
KY,2007,2.7260130952380957
LA,2007,2.676917857142857
MA,2007,2.761607142857143
MD,2007,2.739514285714286
ME,2007,2.840159523809524
MI,2007,2.7321500000000003
MN,2007,2.760379761904762
MO,2007,2.640096428571429
MS,2007,2.6474607142857147
MT,2007,2.8291130952380956
NC,2007,2.7468785714285713
ND,2007,2.865934523809524
NE,2007,2.815611904761905
NH,2007,2.727240476190476
NJ,2007,2.609411904761905
NM,2007,2.8315678571428573
NV,2007,2.845069047619048
NY,2007,2.760379761904762
OH,2007,2.7824726190476192
OK,2007,2.7002380952380953
OR,2007,2.9125750000000004
PA,2007,2.7787904761904763
RI,2007,2.7775630952380954
SC,2007,2.6143214285714285
SD,2007,2.805792857142857
TN,2007,2.6695535714285716
TX,2007,2.6683261904761904
US,2007,2.734604761904762
UT,2007,2.755470238095238
VA,2007,2.6535976190476194
VT,2007,2.8045654761904766
WA,2007,2.9530785714285717
WI,2007,2.861025
WV,2007,2.838932142857143
WY,2007,2.7591523809523815
AK,2008,3.627255238095238
AL,2008,3.135403333333334
AR,2008,3.1073323809523816
AZ,2008,3.1476080952380956
CA,2008,3.2769785714285717
CO,2008,3.172017619047619
CT,2008,3.241584761904762
DC,2008,3.2525690476190476
DE,2008,3.168356190476191
FL,2008,3.1073323809523816
GA,2008,3.052410952380953
HI,2008,3.584538571428572
IA,2008,3.11099380952381
ID,2008,3.241584761904762
IL,2008,3.1659152380952387
IN,2008,3.093907142857143
KS,2008,3.098789047619048
KY,2008,3.163474285714286
LA,2008,3.172017619047619
MA,2008,3.2159547619047624
MD,2008,3.1793404761904767
ME,2008,3.3099314285714287
MI,2008,3.1085528571428576
MN,2008,3.1061119047619052
MO,2008,3.0255604761904764
MS,2008,3.095127619047619
MT,2008,3.2635533333333333
NC,2008,3.2281595238095244
ND,2008,3.1939861904761906
NE,2008,3.0975685714285714
NH,2008,3.196427142857143
NJ,2008,3.113434761904762
NM,2008,3.1939861904761906
NV,2008,3.2513485714285717
NY,2008,3.2562304761904763
OH,2008,3.158592380952381
OK,2008,3.0341038095238098
OR,2008,3.3575300000000006
PA,2008,3.240364285714286
RI,2008,3.2135138095238096
SC,2008,3.1122142857142863
SD,2008,3.1378442857142863
TN,2008,3.135403333333334
TX,2008,3.0975685714285714
US,2008,3.172017619047619
UT,2008,3.207411428571429
VA,2008,3.120757619047619
VT,2008,3.313592857142857
WA,2008,3.40879
WI,2008,3.236702857142857
WV,2008,3.3319000000000005
WY,2008,3.158592380952381
AK,2009,2.823767857142857
AL,2009,2.1897864285714284
AR,2009,2.1618523809523813
AZ,2009,2.2711595238095237
CA,2009,2.492202857142857
CO,2009,2.2553707142857142
CT,2009,2.3768230952380955
DC,2009,2.257799761904762
DE,2009,2.28573380952381
FL,2009,2.208004285714286
GA,2009,2.1096278571428573
HI,2009,2.7764014285714285
IA,2009,2.2699450000000003
ID,2009,2.3270276190476187
IL,2009,2.288162857142857
IN,2009,2.2274366666666667
KS,2009,2.2335092857142858
KY,2009,2.2954499999999998
LA,2009,2.2480835714285714
MA,2009,2.3634633333333332
MD,2009,2.3015226190476192
ME,2009,2.4569816666666666
MI,2009,2.251727142857143
MN,2009,2.3233840476190473
MO,2009,2.176426666666667
MS,2009,2.208004285714286
